"FAKULTA";"PRAC_ZKR";"ZKR_PREDM";"ROK_VARIANTY";"NAZEV_CZ";"NAZEV_AN";"NAZEV_DLOUHY_CZ";"NAZEV_DLOUHY_AN";"STAV_AKREDITACE";"GARANTI";"VYUCUJICI";"KREDITY";"TYP_ZK";"SEMESTRY_VYUKY";"JEDNOTEK_PR";"JEDNOTKA_PR";"TYP_UCEB_PR";"JEDNOTEK_CV";"JEDNOTKA_CV";"POC_STUD_CV";"TYP_UCEB_CV";"JEDNOTEK_SEM";"JEDNOTKA_SEM";"POC_STUD_SEM";"TYP_UCEB_SEM";"HODNOCENI_ZK";"JAZYK_VYUKY";"ECTS_NABIZET";"TISK_DS";"ANOTACE_CZ";"ANOTACE_AN";"POZADAVKY_CZ";"POZADAVKY_AN";"URL";"OBSAH_CZ";"OBSAH_AN";"PR_ZN_CZ";"PR_ZN_AN";"PR_DO_CZ";"PR_DO_AN";"PR_ZP_CZ";"PR_ZP_AN";"VU_ZN_CZ";"VU_ZN_AN";"VU_DO_CZ";"VU_DO_AN";"VU_ZP_CZ";"VU_ZP_AN";"VM_ZN_CZ";"VM_ZN_AN";"VM_DO_CZ";"VM_DO_AN";"VM_ZP_CZ";"VM_ZP_AN";"HM_ZN_CZ";"HM_ZN_AN";"HM_DO_CZ";"HM_DO_AN";"HM_ZP_CZ";"HM_ZP_AN";"CASOVA_NAROCNOST_CZ";"CASOVA_NAROCNOST_EN";"LITERATURA"
"FEI";"FEI";"DDIPR";"2019";"Odevzdání disertaèní práce";"Submission of dissertation";"Odevzdání disertaèní práce";"Submission of dissertation";"Akreditováno";"doc. Ing. Petr Doleel, Ph.D.";"doc. Ing. Petr Doleel, Ph.D.";"40";"Zápoèet";"ZS,LS";"0";"HOD/TYD";"";"0";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština, Angliètina";"ANO";"ANO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FEI";"FEI";"DPSDZ";"2019";"Odevzdání písemné práce ke SDZ";"Submission of Writ. Abstract to State Ex";"Odevzdání písemné práce ke státní doktorské zkoušce";"Submission of Written Abstract to State Doctoral Examination";"Akreditováno";"doc. Ing. Petr Doleel, Ph.D.";"doc. Ing. Petr Doleel, Ph.D.";"20";"Zápoèet";"ZS,LS";"0";"HOD/TYD";"";"0";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština, Angliètina";"ANO";"ANO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FEI";"FEI";"DSDZ";"2019";"Absolvování státní doktorské zkoušky";"Completion of State Doctoral Examination";"Absolvování státní doktorské zkoušky";"Completion of State Doctoral Examination";"Akreditováno";"doc. Ing. Petr Doleel, Ph.D.";"doc. Ing. Petr Doleel, Ph.D.";"20";"Zápoèet";"ZS,LS";"0";"HOD/TYD";"";"0";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština, Angliètina";"ANO";"ANO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FEI";"FEI";"IDZAM";"2019";"Vybrané kapitoly z aplikované mat.-SDoZ";"Selected Chapters from Applied Mathemati";"Vybrané kapitoly z aplikované matematiky";"Selected Chapters from Applied Mathematics";"Akreditováno";"";"";"0";"Státní doktorská zkouška";"ZS,LS";"0";"HOD/TYD";"";"0";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština, Angliètina";"ANO";"ANO";"Cílem pøedmìtu je prohloubit a rozšíøit matematické znalosti doktorandù ve vybranıch oblastech matematiky a poskytnout jim matematické nástroje potøebné pro øešení témat jejich disertaèních prací.";"The target of the subject is to deepen and extend the mathematical knowledge in the selected mathematical areas and to provide them the tools that are necessary for the solution of the problems";"Student musí zvládnou pøedepsanou látku z teoretického i praktického hlediska.";"Student must be able to make the prescribed subject matted up from the theoretical and practical view.";"";"Maticovı poèet pokroèilı.
 Numerická matematika. 
Grafy a sítì. 
Tenzorovı poèet. 
Parciální diferenciální rovnice a jejich soustavy. 
Rozsáhlé soustavy lineárních diferenciálních rovnic. 
Vybrané soustavy nelineárních diferenciálních rovnic. 
Integrální rovnice. 
Variaèní poèet s aplikacemi. 
Stabilita øešení v matematice.";"Advanced matrix calculus.
Numerical mathematics. 
Graphs and nets. 
Tensor calculus. 
Partial differential equation and their systems. 
Extensive systems of linear differential equations. 
Selected systems of the non-linear differential equations. 
Integral equations. 
Variation calculus with applications. 
Stability of solution in mathematics.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Doporuèená: BENSOUSSAN, A.; LIONS, J. L. Impulsnoje upravlenje i kvazivariacionnyje neravenstva. Nauka, Moskva, 1987. , Základní: Leon, S.J. Linear Algebra with Applications. New Jersey, Prentice Hall, 1994. , Základní: V. M.; FOMIN, S. V.; TICHOMIROV, V. M. Matematická teorie optimálních procesù. Academia, Praha, 1991. , Základní: BARTÁK, L.; HERRMANN, L.; LOVICAR, V.; VEJVODA, O. Parciální diferenciální rovnice. SNTL, Praha, 1998. "
"FEI";"FEI";"IDZNP";"2019";"Náhodné procesy - SDoZ";"Stochastic Processes";"Náhodné procesy";"Stochastic Processes";"Akreditováno";"";"";"0";"Státní doktorská zkouška";"ZS,LS";"0";"HOD/TYD";"";"0";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština, Angliètina";"ANO";"ANO";"Cílem pøedmìtu je seznámit doktorandy s vybranımi tématy z teorie náhodnıch procesù.";"The target of the subject is to make the students acquainted with the selected topics from the random processes theory.";"Student musí zvládnou pøedepsanou látku z teoretického i praktického hlediska.";"Student must be able to make the prescribed subject matted up from the theoretical and practical view.";"";" Náhodnı proces, základní typy náhodnıch procesù, bodové procesy.
 Poissonùv proces. 
Spektrální rozklad náhodnıch procesù. 
Modelování stochastickıch procesù. 
Markovovy procesy, Markovovy øetìzce. 
Teorie hromadné obsluhy, základní pojmy, Kendallova klasifikace, frontové reimy.  
Systém M/M/n, nemarkovovy systémy hromadné obsluhy - M/D/1, M/G/1, M/Ek/1. 
Teorie zásob - deterministické a stochastické modely.
 Teorie obnovy - modely s opotøebovanımi a selhávajícími prvky.";"Random process, basic types of random processes, point processes.
Poisson's process. 
Spectral decomposition of the random processes. 
Modeling of the stochastic processes. 
Markov´s processes, Markov´s chains. 
Queuing theory, basic terms, Kendall's classification, queues regimes. System M/M/n,
Non- Markov´s  queuing systems - M/D/1, M/G/1, M/Ek/1. 
Inventory theory - deterministic and stochastic models.
Renewal theory - models s punished and backfiring elements.
";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Doporuèená: Ventcelová,E.S. Teória prvdìpodobnosti. Alfa, Bratislava, 1973. , Základní: Hillier,S.F.,Lieberman,G.J. Introduction to Operations Research. McGraw Hill, 2001. ISBN 0-07-121744-4., Základní: Linda, Bohdan. Stochastické metody operaèního vızkumu. Bratislava: Statis, 2004. ISBN 80-85659-33-6."
"FEI";"FEI";"INAKO";"2019";"Anglická konverzace pro navazující st.";"English conversation for follow-ups";"Anglická konverzace pro navazující studium";"English conversation for follow-up master students";"Akreditováno";"Paul Charles Hooper";"Paul Charles Hooper, Mgr. Janet Wolf";"2";"Zápoèet";"ZS";"0";"HOD/TYD";"";"2";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Angliètina";"ANO";"ANO";"Hlavním cílem hodin je aktivovat konverzaèní dovednosti, zlepšit ústní projev studenta, reprodukovat psanı text a vylepšit poslechové dovednosti.";"The main aim of the course is to activate and improve conversational and listening skills and the ability to reproduce the written text.";"Docházka dle poadavku vyuèujícího a aktivní úèast studenta.";"Active participation in class.";"";"1. Jak rozbìhnout konverzaci
2. Cestování a dobrodruství 
3. Aktivní a pasivní sporty
3. Knihy a filmy
4. Zlozvyky
5. Strach a štìstí
6. Fascinující fakta, nevysvìtlitelné záhady
7. Poèítaèe a sociální sítì 
8. Pøístroje 21. století
9. Náš volnı èas
10. Schùzky (formální vs neformální)
11. Tabu témata
12. Získání práce
13. Témata studentù";"1. Conversation Starters
2. Traveling and Adventure
3. Active and Pasive Sports
3. Books and Movies
4. Bad Habits
5. Fears and Happiness
6. Fascinating Facts, Unexplained Mysteries
7. Computers and Social Networks
8. Gadgets of 21st century
9. Free time
10. Meetings (formal vs informal)
11. Taboo Topics
12. Getting a job
13. A Wish Topic (students')";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Doporuèená: GIMSON, A. An Introduction to the Pronunciation of English. London: Arnold, 1980. , Doporuèená: Ibbotson, M. Cambridge English for Engineering. CUP, 2008. , Doporuèená: Olejniczak, M. English for Information Technology 1. Harlow, 2011. ISBN 9781408269961., Doporuèená: Sparling, Don. English or Czenglish? Jak se vyhnout èechismùm v angliètinì. Praha: SPN, 1989. "
"FEI";"FEI";"INAK2";"2019";"Anglická konverzace pro navazující st.";"English conversation for follow-ups";"Anglická konverzace pro navazující studium";"English conversation for follow-up master students";"Akreditováno";"Paul Charles Hooper";"Paul Charles Hooper, Mgr. Janet Wolf";"2";"Zápoèet";"LS";"0";"HOD/TYD";"";"2";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Angliètina";"ANO";"ANO";"Hlavním cílem hodin je aktivovat konverzaèní dovednosti, zlepšit ústní projev studenta, reprodukovat psanı text a vylepšit poslechové dovednosti.";"The main aim of the course is to activate and improve conversational and listening skills and the ability to reproduce the written text.";"Docházka dle poadavku vyuèujícího a aktivní úèast studenta.";"Active participation in class.";"";"1. Jak rozbìhnout konverzaci
2. Cestování a dobrodruství 
3. Aktivní a pasivní sporty
3. Knihy a filmy
4. Zlozvyky
5. Strach a štìstí
6. Fascinující fakta, nevysvìtlitelné záhady
7. Poèítaèe a sociální sítì 
8. Pøístroje 21. století
9. Náš volnı èas
10. Schùzky (formální vs neformální)
11. Tabu témata
12. Získání práce
13. Témata studentù";"1. Conversation Starters
2. Traveling and Adventure
3. Active and Pasive Sports
3. Books and Movies
4. Bad Habits
5. Fears and Happiness
6. Fascinating Facts, Unexplained Mysteries
7. Computers and Social Networks
8. Gadgets of 21st century
9. Free time
10. Meetings (formal vs informal)
11. Taboo Topics
12. Getting a job
13. A Wish Topic (students')";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Doporuèená: GIMSON, A. An Introduction to the Pronunciation of English. London: Arnold, 1980. , Doporuèená: Ibbotson, M. Cambridge English for Engineering. CUP, 2008. , Doporuèená: Olejniczak, M. English for Information Technology 1. Harlow, 2011. ISBN 9781408269961., Doporuèená: Sparling, Don. English or Czenglish? Jak se vyhnout èechismùm v angliètinì. Praha: SPN, 1989. "
"FEI";"FEI";"IZST1";"2019";"Zahranièní stá 1";"Traineeship 1";"Zahranièní stá 1";"Traineeship abroad 1";"Akreditováno";"Bc. Dominika Kleinová; Mgr. Janet Wolf";"Bc. Dominika Kleinová, Mgr. Janet Wolf";"4";"Zápoèet";"ZS";"0";"HOD/TYD";"";"20";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Angliètina";"ANO";"ANO";"Pøedmìt Zahranièní stá 1 je urèen pro studenty FEI èeskıch studijních programù, kteøí v rámci programu Erasmus+ úspìšnì absolvují zahranièní stá na vybrané instituci.";"The subject ""Training abroad 1"" is intended for FEEI students of Czech study programmes who undertakes training abroad within the program Erasmus+ in chosen host institution.";"Pøedmìt je úspìšnì ukonèen pokud:
- student absolvuje pobyt v dobì, ke které se zavázal 
- student nahlásí svùj pøíjezd na studijním oddìlení
- student pøiveze poadované potvrzené dokumenty";"To complete the subject succesfully the student must:
- keep the period of stay he/she is obliged in the agreement 
- inform study department about his/her return
- bring all the necessary documents, signed and stamped by host institution";"";"Zahranièní stá programu Erasmus+ po dobu min. 2 a max. 12 mìsícù za úèelem splnit cíle sepsané v dokumentu ""Training Program"", na kterıch se dohodly všechny zúèastnìné strany. ";"Erasmus+ training stay abroad from min 2 max 12 months. The aim of the stay is to fulfill the content of ""Training Program"" agreement which all involved parties agreed on.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FEI";"FEI";"IZST2";"2019";"Zahranièní stá 2";"Traineeship 2";"Zahranièní stá 1.";"Traineeship abroad 2";"Akreditováno";"Bc. Dominika Kleinová; Mgr. Janet Wolf";"Bc. Dominika Kleinová, Mgr. Janet Wolf";"4";"Zápoèet";"LS";"0";"HOD/TYD";"";"20";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Angliètina";"ANO";"ANO";"Pøedmìt Zahranièní stá 2 je urèen pro studenty FEI èeskıch studijních programù, kteøí v rámci programu Erasmus+ úspìšnì absolvují zahranièní stá na vybrané instituci.";"The subject ""Training abroad 2"" is intended for FEEI students of Czech study programmes who undertakes training abroad within the program Erasmus+ in a chosen, host institution.";"Pøedmìt je úspìšnì ukonèen pokud:
- student absolvuje pobyt v dobì, ke které se zavázal 
- student nahlásí svùj pøíjezd na studijním oddìlení
- student pøiveze poadované potvrzené dokumenty";"To complete the subject succesfully the student must:
- keep the period of stay he/she is obliged in the agreement 
- inform study department about his/her return
- bring all the necessary documents, signed and stamped by host institution";"";"Zahranièní stá programu Erasmus+ po dobu min. 2 a max. 12 mìsícù za úèelem splnit cíle sepsané v dokumentu ""Training Program"", na kterıch se dohodly všechny zúèastnìné strany. ";"Erasmus+ training stay abroad from min 2 max 12 months. The aim of the stay is to fulfill the content of ""Training Program"" agreement which all involved parties agreed on.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FEI";"FEI";"NNAKO";"2019";"Anglická konverzace";"English Conversation";"Anglická konverzace";"English Conversation for Follow-up Master Students";"Akreditováno";"Paul Charles Hooper";"Paul Charles Hooper";"2";"Zápoèet";"ZS";"0";"HOD/TYD";"";"2";"HOD/TYD";"0";"";"0";"HOD/TYD";"0";"";"Slovnì";"Èeština";"ANO";"ANO";"Hlavním cílem hodin je aktivovat konverzaèní dovednosti, zlepšit ústní projev studenta, reprodukovat psanı text a vylepšit poslechové dovednosti.";"The main aim of the course is to activate and improve conversational and listening skills and the ability to reproduce the written text.";"Docházka dle poadavku vyuèujícího a aktivní úèast studenta.";"Active participation in class.";"";"1. Jak rozbìhnout konverzaci
2. Cestování a dobrodruství 
3. Aktivní a pasivní sporty
3. Knihy a filmy
4. Zlozvyky
5. Strach a štìstí
6. Fascinující fakta, nevysvìtlitelné záhady
7. Poèítaèe a sociální sítì 
8. Pøístroje 21. století
9. Náš volnı èas
10. Schùzky (formální vs neformální)
11. Tabu témata
12. Získání práce
13. Témata studentù";"1. Conversation Starters
2. Traveling and Adventure
3. Active and Pasive Sports
3. Books and Movies
4. Bad Habits
5. Fears and Happiness
6. Fascinating Facts, Unexplained Mysteries
7. Computers and Social Networks
8. Gadgets of 21st century
9. Free time
10. Meetings (formal vs informal)
11. Taboo Topics
12. Getting a job
13. A Wish Topic (students')";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Doporuèená: Ibbotson, M. Cambridge English for Engineering. Cambridge, 2008. ISBN 9780521715188., Doporuèená: Olejniczak, M. English for Information Technology 1. Harlow, 2011. ISBN 9781408269961., Doporuèená: Sparling, Don. English or Czenglish? Jak se vyhnout èechismùm v angliètinì. Praha: SPN, 1989. "
